2025-01-09 13:36:08 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12872_2024_Article_4441.txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12862_2024_Article_2339.txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6011.txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12520_2024_Article_2129 (1).txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5804.txt
2025-01-09 13:36:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12520_2024_Article_2129.txt
2025-01-09 13:36:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6016.txt
2025-01-09 13:36:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5879.txt
2025-01-09 13:36:11 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12298_2024_Article_1540 (1).txt
2025-01-09 13:36:12 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12298_2024_Article_1540.txt
2025-01-09 13:36:12 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6024.txt
2025-01-09 13:36:13 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5959.txt
2025-01-09 13:36:13 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12871_2024_Article_2869.txt
2025-01-09 13:36:14 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6013.txt
2025-01-09 13:36:17 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12877_2024_Article_5591.txt
2025-01-09 13:36:19 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10374.txt
2025-01-09 13:36:21 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12876_2024_Article_3579.txt
2025-01-09 13:36:23 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12877_2024_Article_5615.txt
2025-01-09 13:36:23 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12876_2024_Article_3564.txt
2025-01-09 13:36:23 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10410.txt
2025-01-09 13:36:23 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12875_2024_Article_2696.txt
2025-01-09 13:36:23 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10402.txt
2025-01-09 13:36:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10418.txt
2025-01-09 13:36:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10401.txt
2025-01-09 13:36:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10393.txt
2025-01-09 13:36:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10404.txt
2025-01-09 13:36:27 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10405.txt
2025-01-09 13:36:28 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10395.txt
2025-01-09 13:36:29 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12880_2024_Article_1541.txt
2025-01-09 13:36:31 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10411.txt
2025-01-09 13:36:31 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12882_2024_Article_3924.txt
2025-01-09 13:36:32 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12883_2024_Article_3983.txt
2025-01-09 13:36:32 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12883_2024_Article_4009.txt
2025-01-09 13:36:33 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12880_2024_Article_1545.txt
2025-01-09 13:36:34 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12882_2024_Article_3911.txt
2025-01-09 13:36:34 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12880_2024_Article_1547.txt
